Order ID,Order Date,Ship Date,Ship Mode,Segment,Continent,Country,Region,State,City,Category,Sub-Category,Sales,Quantity,Discount,Profit
GB-2025-10001,10/16/2025,10/21/2025,Standard Class,Home Office,North America,United States,East,New York,New York,Technology,Phones,1578.01,7,0,315.6
GB-2024-10002,8/26/2024,8/31/2024,Standard Class,Consumer,Oceania,Australia,East,New South Wales,Sydney,Technology,Accessories,118.64,1,0,47.46
GB-2025-10003,3/8/2025,3/13/2025,Standard Class,Consumer,North America,Canada,East,Ontario,Toronto,Office Supplies,Paper,141.43,6,0.1,48.09
GB-2026-10004,4/6/2026,4/11/2026,Standard Class,Corporate,Oceania,Australia,East,New South Wales,Sydney,Technology,Accessories,446.36,4,0,178.54
GB-2024-10005,8/21/2024,8/24/2024,Second Class,Consumer,South America,Brazil,South,Paraná,Curitiba,Office Supplies,Art,35.31,3,0,10.59
GB-2024-10006,9/30/2024,10/3/2024,Second Class,Home Office,Asia,India,West,Maharashtra,Mumbai,Office Supplies,Envelopes,89.28,5,0.1,25.89
GB-2025-10007,7/24/2025,7/29/2025,Standard Class,Corporate,Asia,India,West,Maharashtra,Mumbai,Office Supplies,Envelopes,14.98,5,0.5,0.75
GB-2025-10008,8/3/2025,8/5/2025,First Class,Corporate,North America,Canada,West,British Columbia,Vancouver,Furniture,Bookcases,521.97,3,0,26.1
GB-2024-10009,9/26/2024,9/29/2024,Second Class,Corporate,South America,Brazil,South,Paraná,Curitiba,Furniture,Furnishings,124.83,2,0.2,16.23
GB-2024-10010,6/5/2024,6/8/2024,Second Class,Home Office,Europe,United Kingdom,North,Scotland,Edinburgh,Technology,Machines,6089.04,9,0,1096.03
GB-2024-10011,1/12/2024,1/15/2024,Second Class,Consumer,Asia,Japan,Kansai,Osaka,Osaka,Office Supplies,Envelopes,17.71,3,0.5,0.89
GB-2026-10012,1/6/2026,1/11/2026,Standard Class,Home Office,Asia,India,South,Tamil Nadu,Chennai,Furniture,Bookcases,706.89,3,0.1,7.07
GB-2025-10013,6/27/2025,6/29/2025,First Class,Home Office,Europe,United Kingdom,South,England,London,Office Supplies,Binders,13.56,1,0,6.1
GB-2024-10014,3/21/2024,3/26/2024,Standard Class,Corporate,Asia,India,West,Maharashtra,Mumbai,Technology,Copiers,6024.33,5,0.1,1747.06
GB-2024-10015,8/4/2024,8/6/2024,First Class,Home Office,Asia,Japan,Kansai,Osaka,Osaka,Office Supplies,Envelopes,17.44,2,0,6.1
GB-2024-10016,1/22/2024,1/27/2024,Standard Class,Consumer,Oceania,Australia,East,New South Wales,Sydney,Furniture,Chairs,407.89,1,0,61.18
GB-2024-10017,8/31/2024,9/5/2024,Standard Class,Corporate,North America,United States,West,California,Los Angeles,Office Supplies,Envelopes,23.08,4,0.1,6.69
GB-2024-10018,12/28/2024,1/2/2025,Standard Class,Corporate,South America,Brazil,Southeast,São Paulo,São Paulo,Office Supplies,Art,18.44,2,0,5.53
GB-2025-10019,4/4/2025,4/9/2025,Standard Class,Consumer,North America,United States,East,Pennsylvania,Philadelphia,Technology,Phones,721.72,1,0,144.34
GB-2024-10020,1/16/2024,1/16/2024,Same Day,Consumer,North America,Canada,West,British Columbia,Vancouver,Office Supplies,Paper,21.71,3,0.5,2.17
GB-2024-10021,9/28/2024,9/30/2024,First Class,Corporate,North America,Canada,East,Ontario,Toronto,Office Supplies,Binders,29.8,1,0,13.41
GB-2026-10022,2/4/2026,2/9/2026,Standard Class,Consumer,Oceania,Australia,East,New South Wales,Sydney,Furniture,Chairs,705.12,2,0,105.77
GB-2024-10023,5/2/2024,5/4/2024,First Class,Home Office,North America,United States,East,Pennsylvania,Philadelphia,Technology,Accessories,209.47,5,0.1,71.22
GB-2024-10024,9/1/2024,9/6/2024,Standard Class,Consumer,Asia,Japan,Kansai,Osaka,Osaka,Furniture,Chairs,2690.8,8,0,403.62
GB-2024-10025,4/12/2024,4/17/2024,Standard Class,Consumer,Oceania,Australia,West,Western Australia,Perth,Furniture,Bookcases,589.28,5,0.2,41.25
GB-2025-10026,12/21/2025,12/26/2025,Standard Class,Home Office,Oceania,Australia,East,New South Wales,Sydney,Office Supplies,Paper,47.12,2,0,18.85
GB-2024-10027,10/15/2024,10/18/2024,Second Class,Home Office,Europe,Germany,South,Bavaria,Munich,Furniture,Chairs,2791.6,7,0,418.74
GB-2024-10028,12/7/2024,12/10/2024,Second Class,Home Office,Africa,South Africa,Western Cape,Western Cape,Cape Town,Technology,Phones,416.32,2,0.2,33.31
GB-2024-10029,6/1/2024,6/6/2024,Standard Class,Corporate,Oceania,Australia,West,Western Australia,Perth,Furniture,Bookcases,1996.33,6,0.1,19.96
GB-2024-10030,2/10/2024,2/12/2024,First Class,Consumer,Asia,India,South,Tamil Nadu,Chennai,Technology,Copiers,3620.9,4,0.5,181.04
GB-2026-10031,4/10/2026,4/15/2026,Standard Class,Corporate,North America,Canada,West,British Columbia,Vancouver,Office Supplies,Binders,40.72,2,0,18.32
GB-2025-10032,4/26/2025,5/1/2025,Standard Class,Corporate,Europe,United Kingdom,South,England,London,Technology,Copiers,5933.59,7,0.2,1364.73
GB-2026-10033,3/2/2026,3/7/2026,Standard Class,Home Office,Oceania,Australia,East,New South Wales,Sydney,Office Supplies,Binders,19.2,5,0,8.64
GB-2024-10034,12/19/2024,12/22/2024,Second Class,Corporate,Europe,United Kingdom,North,Scotland,Edinburgh,Office Supplies,Paper,17.64,7,0.5,1.76
GB-2025-10035,7/5/2025,7/8/2025,Second Class,Home Office,Asia,India,South,Tamil Nadu,Chennai,Furniture,Bookcases,1794.12,6,0,89.71
GB-2024-10036,11/3/2024,11/8/2024,Standard Class,Home Office,Europe,Germany,South,Bavaria,Munich,Furniture,Furnishings,248.36,7,0.5,12.42
GB-2025-10037,9/22/2025,9/27/2025,Standard Class,Corporate,Oceania,Australia,West,Western Australia,Perth,Furniture,Furnishings,311.1,6,0,77.78
GB-2024-10038,8/6/2024,8/11/2024,Standard Class,Home Office,North America,United States,West,Washington,Seattle,Furniture,Tables,1867.75,5,0,186.78
GB-2024-10039,1/26/2024,1/31/2024,Standard Class,Corporate,Asia,India,East,West Bengal,Kolkata,Technology,Copiers,9044.91,7,0,3165.72
GB-2025-10040,11/2/2025,11/5/2025,Second Class,Consumer,Asia,India,West,Maharashtra,Mumbai,Furniture,Tables,801.68,2,0.2,176.37
GB-2025-10041,11/14/2025,11/19/2025,Standard Class,Home Office,Oceania,Australia,West,Western Australia,Perth,Furniture,Furnishings,266.64,8,0,66.66
GB-2025-10042,10/14/2025,10/19/2025,Standard Class,Home Office,Europe,United Kingdom,North,Scotland,Edinburgh,Furniture,Bookcases,726.04,4,0,36.3
GB-2025-10043,7/7/2025,7/12/2025,Standard Class,Consumer,North America,United States,East,New York,New York,Office Supplies,Envelopes,78.84,6,0,27.59
GB-2024-10044,7/30/2024,8/1/2024,First Class,Corporate,South America,Brazil,South,Paraná,Curitiba,Furniture,Bookcases,1304.16,5,0.2,91.29
GB-2025-10045,3/5/2025,3/10/2025,Standard Class,Home Office,Oceania,Australia,West,Western Australia,Perth,Office Supplies,Envelopes,43.52,8,0,15.23
GB-2025-10046,11/26/2025,11/29/2025,Second Class,Home Office,North America,Canada,East,Ontario,Toronto,Office Supplies,Paper,42.14,2,0,16.86
GB-2025-10047,4/17/2025,4/22/2025,Standard Class,Corporate,Europe,United Kingdom,North,Scotland,Edinburgh,Office Supplies,Envelopes,65.12,5,0.2,14.98
GB-2024-10048,9/15/2024,9/17/2024,First Class,Corporate,North America,United States,West,California,Los Angeles,Technology,Phones,401.69,1,0.5,40.17
GB-2024-10049,7/23/2024,7/25/2024,First Class,Home Office,North America,United States,West,California,Los Angeles,Technology,Copiers,11370.6,8,0.1,3297.47
GB-2024-10050,6/20/2024,6/23/2024,Second Class,Home Office,Asia,India,South,Tamil Nadu,Chennai,Technology,Phones,1651.6,5,0.5,165.16
GB-2025-10051,1/19/2025,1/24/2025,Standard Class,Home Office,North America,United States,East,Pennsylvania,Philadelphia,Technology,Phones,477.76,1,0,95.55
GB-2025-10052,1/14/2025,1/19/2025,Standard Class,Home Office,Europe,Germany,South,Bavaria,Munich,Office Supplies,Art,150.8,8,0,45.24
GB-2026-10053,1/21/2026,1/26/2026,Standard Class,Home Office,North America,Canada,West,British Columbia,Vancouver,Technology,Accessories,627.46,6,0.2,175.69
GB-2024-10054,3/29/2024,4/3/2024,Standard Class,Corporate,North America,Canada,West,British Columbia,Vancouver,Furniture,Furnishings,158.22,6,0,39.55
GB-2026-10055,3/27/2026,4/1/2026,Standard Class,Corporate,South America,Brazil,Southeast,São Paulo,São Paulo,Furniture,Tables,3267.94,7,0.1,522.87
GB-2025-10056,12/8/2025,12/13/2025,Standard Class,Home Office,Europe,United Kingdom,South,England,London,Furniture,Furnishings,150.24,4,0,37.56
GB-2025-10057,4/29/2025,5/4/2025,Standard Class,Corporate,Europe,Germany,South,Bavaria,Munich,Office Supplies,Art,39.78,5,0.1,9.55
GB-2024-10058,11/19/2024,11/24/2024,Standard Class,Home Office,Africa,South Africa,Gauteng,Gauteng,Johannesburg,Technology,Machines,2992.6,5,0.5,1436.45
GB-2025-10059,6/21/2025,6/26/2025,Standard Class,Consumer,Asia,Japan,Kanto,Tokyo,Tokyo,Furniture,Bookcases,312.41,1,0,15.62
GB-2024-10060,2/16/2024,2/16/2024,Same Day,Home Office,North America,United States,West,California,Los Angeles,Furniture,Bookcases,1948.88,8,0,97.44
GB-2024-10061,2/22/2024,2/27/2024,Standard Class,Corporate,North America,United States,West,Washington,Seattle,Furniture,Chairs,584.28,3,0,87.64
GB-2024-10062,11/7/2024,11/12/2024,Standard Class,Consumer,North America,Canada,East,Ontario,Toronto,Office Supplies,Envelopes,44.75,5,0.5,2.24
GB-2024-10063,11/8/2024,11/13/2024,Standard Class,Consumer,Asia,India,West,Maharashtra,Mumbai,Office Supplies,Paper,33,3,0,13.2
GB-2024-10064,6/9/2024,6/14/2024,Standard Class,Corporate,Asia,Japan,Kansai,Osaka,Osaka,Furniture,Bookcases,1554.5,5,0,77.73
GB-2025-10065,12/4/2025,12/9/2025,Standard Class,Corporate,Asia,India,East,West Bengal,Kolkata,Technology,Copiers,4492.27,3,0.2,1033.22
GB-2024-10066,3/14/2024,3/19/2024,Standard Class,Corporate,Oceania,Australia,West,Western Australia,Perth,Office Supplies,Art,166.6,7,0,49.98
GB-2025-10067,5/20/2025,5/25/2025,Standard Class,Home Office,North America,Canada,West,British Columbia,Vancouver,Furniture,Chairs,1403.42,4,0.2,42.1
GB-2025-10068,8/12/2025,8/17/2025,Standard Class,Consumer,Africa,South Africa,Gauteng,Gauteng,Johannesburg,Office Supplies,Envelopes,38.6,5,0,13.51
GB-2025-10069,10/12/2025,10/14/2025,First Class,Consumer,Europe,Germany,South,Bavaria,Munich,Technology,Phones,1252.37,3,0.1,175.33
GB-2024-10070,10/22/2024,10/25/2024,Second Class,Corporate,Asia,India,East,West Bengal,Kolkata,Office Supplies,Art,34.72,6,0.1,8.33
GB-2025-10071,6/10/2025,6/12/2025,First Class,Consumer,Asia,Japan,Kansai,Osaka,Osaka,Furniture,Bookcases,2070.86,8,0.1,20.71
GB-2024-10072,7/27/2024,8/1/2024,Standard Class,Consumer,South America,Brazil,South,Paraná,Curitiba,Furniture,Tables,1262.73,3,0,126.27
GB-2025-10073,2/21/2025,2/26/2025,Standard Class,Consumer,Europe,United Kingdom,South,England,London,Technology,Accessories,1005.3,9,0,402.12
GB-2025-10074,5/9/2025,5/9/2025,Same Day,Consumer,Europe,United Kingdom,North,Scotland,Edinburgh,Technology,Copiers,1776.15,2,0.1,515.08
